2025-04-03 09:15:39 - Anomaly Detected: (64, array([ 3056, 81965,   314,   171]))
2025-04-03 09:15:39 - Anomaly Detected: (65, array([   734, 145914,    295,    171]))
2025-04-03 09:15:39 - Anomaly Detected: (71, array([  4768, 204880,    265,    166]))
2025-04-03 09:15:39 - Anomaly Detected: (75, array([ 21703, 612950,    709,    165]))
2025-04-03 09:15:39 - Anomaly Detected: (83, array([61951, 40697,   263,   166]))
2025-04-03 09:15:39 - Anomaly Detected: (86, array([  3801, 119469,    192,    165]))
2025-04-03 09:16:07 - Anomaly Detected: (0, array([  4042, 145462,    257,    203]))
2025-04-03 09:16:07 - Anomaly Detected: (2, array([  6149, 155602,    338,    204]))
2025-04-03 09:16:07 - Anomaly Detected: (3, array([ 14351, 627612,    715,    205]))
2025-04-03 09:16:07 - Anomaly Detected: (8, array([ 12761, 558512,    634,    204]))
2025-04-03 09:16:07 - Anomaly Detected: (18, array([  7050, 480548,    516,    212]))
2025-04-03 09:16:07 - Anomaly Detected: (20, array([  92, 8912,   58,  211]))
2025-04-03 09:16:07 - Anomaly Detected: (28, array([  4705, 205968,    234,    184]))
2025-04-03 09:16:07 - Anomaly Detected: (29, array([  2567, 402542,    400,    184]))
2025-04-03 09:16:07 - Anomaly Detected: (33, array([54350, 36252,   196,   173]))
2025-04-03 09:16:07 - Anomaly Detected: (34, array([ 7212, 70404,   345,   173]))
2025-04-03 09:16:07 - Anomaly Detected: (35, array([ 2809, 70193,   287,   172]))
2025-04-03 09:16:07 - Anomaly Detected: (36, array([ 3056, 81965,   314,   171]))
2025-04-03 09:16:07 - Anomaly Detected: (37, array([   734, 145914,    295,    171]))
2025-04-03 09:16:07 - Anomaly Detected: (39, array([  7507, 622796,    692,    172]))
2025-04-03 09:16:07 - Anomaly Detected: (43, array([  4768, 204880,    265,    166]))
2025-04-03 09:16:07 - Anomaly Detected: (55, array([61951, 40697,   263,   166]))
2025-04-03 09:16:07 - Anomaly Detected: (58, array([  3801, 119469,    192,    165]))
2025-04-03 09:16:07 - Anomaly Detected: (89, array([     0, 192354,    536,    160]))
2025-04-03 09:16:07 - Anomaly Detected: (90, array([    92, 148853,    292,    159]))
2025-04-03 09:16:07 - Anomaly Detected: (91, array([ 35299, 726836,    801,    161]))
2025-04-03 09:16:07 - Anomaly Detected: (93, array([   504, 148999,    288,    162]))
2025-04-03 09:16:07 - Anomaly Detected: (95, array([10693, 26326,   147,   163]))
2025-04-03 09:16:07 - Anomaly Detected: (97, array([     0, 143966,    241,    161]))
2025-04-03 09:16:42 - Anomaly Detected: (0, array([  79071546, 1579303822,    3721856,        159]))
2025-04-03 09:16:42 - Anomaly Detected: (4, array([ 23342, 379900,    580,    167]))
2025-04-03 09:16:42 - Anomaly Detected: (6, array([ 41652, 789743,    880,    170]))
2025-04-03 09:16:42 - Anomaly Detected: (7, array([  20485, 1007482,    1058,     172]))
2025-04-03 09:16:44 - Anomaly Detected: (0, array([  79071546, 1579303822,    3721856,        159]))
2025-04-03 09:16:44 - Anomaly Detected: (1, array([ 3151, 13578,    89,   159]))
2025-04-03 09:16:44 - Anomaly Detected: (3, array([10062, 45905,   246,   167]))
